Ticket	Symbol	Direction	Module	Lots	EntryPrice	ExitPrice	SL	TP	Profit	Pips	Won	AI_Conf	AI_Signal	RV	ADX	ADR%	Hist	OpenTime	CloseTime	
37900592	USDCHF+	BUY	STD	0.01	0.80840	0.80957	0.80843	0.81052	1.23	11.7	true	0		0.00	0.0	0.0		2026.06.22 14:45	2026.06.22 17:01	PRP_STD_2026.06.22 14:45
37908942	AUDUSD+	SELL	STD	0.01	0.70107	0.70087	0.70207	0.69953	0.14	2.0	true	0		0.00	0.0	0.0		2026.06.22 18:00	2026.06.22 18:30	PRP_STD_2026.06.22 18:00
37909540	AUDUSD+	BUY	STD	0.01	0.70076	0.69976	0.69976	0.70230	-0.92	-10.0	false	0		0.00	0.0	0.0		2026.06.22 18:30	2026.06.22 19:02	PRP_STD_2026.06.22 18:30[sl]
37907250	NZDUSD+	SELL	STD	0.01	0.57293	0.57290	0.57393	0.57089	-0.01	0.3	false	0		0.00	0.0	0.0		2026.06.22 17:15	2026.06.22 18:30	PRP_STD_2026.06.22 17:15
37970917	AUDCAD+	SELL	STD	0.01	0.98222	0.98322	0.98322	0.97960	-0.66	-10.0	false	0		0.00	0.0	0.0		2026.06.24 08:00	2026.06.24 09:07	PRP_STD_2026.06.24 08:00[sl]
37970915	EURCAD+	SELL	STD	0.01	1.61520	1.61644	1.61644	1.61216	-0.81	-12.4	false	0		0.00	0.0	0.0		2026.06.24 08:00	2026.06.24 09:02	PRP_STD_2026.06.24 08:00[sl]
37973784	EURCAD+	SELL	STD	0.01	1.61573	1.61568	1.61567	1.61288	-0.01	0.5	false	0		-4.55	36.9	37.1	RED_LIGHT	2026.06.24 10:00	2026.06.24 11:50	PRP_STD_2026.06.24 10:00[sl]
37973785	AUDCAD+	SELL	STD	0.01	0.98216	0.98139	0.98216	0.97975	0.43	7.7	true	0		-9.01	31.3	39.7	RED_LIGHT	2026.06.24 10:00	2026.06.24 12:00	PRP_STD_2026.06.24 10:00
37973414	USDCAD+	BUY	STD	0.01	1.42221	1.42238	1.42119	1.42536	0.06	1.7	true	0		0.00	0.0	0.0		2026.06.24 09:45	2026.06.24 10:30	PRP_STD_2026.06.24 09:45
37980607	EURCAD+	SELL	STD	0.01	1.61528	1.61432	1.61547	1.61300	0.55	9.6	true	0		0.00	0.0	0.0		2026.06.24 12:00	2026.06.24 13:08	PRP_STD_2026.06.24 12:00
